Wall time,Step,Value
1670412955.8631077,1500,102.0
1670412970.3020873,3000,103.0
1670412984.6265466,4500,103.0
1670412998.7424755,6000,104.0
1670413012.8564074,7500,104.0
1670413028.613959,9000,102.0
1670413044.8725624,10500,101.0
1670413059.39333,12000,101.0
1670413073.8035479,13500,101.0
1670413088.2197971,15000,102.0
1670413102.7028568,16500,102.0
1670413117.2708504,18000,102.0
1670413131.8580408,19500,102.0
1670413146.3543234,21000,102.0
1670413160.8311818,22500,102.0
1670413175.2260203,24000,102.0
1670413189.6334467,25500,102.0
1670413204.0116916,27000,102.0
1670413218.5486531,28500,102.0
1670413233.162461,30000,102.0
1670413247.677401,31500,102.0
1670413262.3147898,33000,102.0
1670413276.8628702,34500,102.0
1670413291.4836416,36000,102.0
1670413306.0265622,37500,102.0
1670413320.8181276,39000,102.0
1670413335.351267,40500,102.0
1670413349.7345934,42000,102.0
1670413364.1641223,43500,102.0
1670413380.5162845,45000,102.0
1670413396.643169,46500,102.0
1670413412.1014705,48000,101.0
1670413427.6983182,49500,101.0
1670413443.0720608,51000,101.0
1670413458.837474,52500,101.0
1670413474.498887,54000,101.0
1670413490.2115963,55500,101.0
1670413505.6372194,57000,100.0
1670413521.8220146,58500,100.0
1670413539.161744,60000,100.0
1670413556.5299492,61500,99.0
1670413574.2634852,63000,99.0
1670413592.3085577,64500,99.0
1670413610.3145275,66000,98.0
1670413627.2128034,67500,98.0
1670413644.4300811,69000,98.0
1670413661.7436204,70500,97.0
1670413679.0128763,72000,97.0
1670413695.8439317,73500,97.0
1670413713.7169564,75000,97.0
1670413731.0273736,76500,96.0
1670413748.1369038,78000,96.0
1670413765.51091,79500,96.0
1670413782.7265632,81000,96.0
1670413799.8907394,82500,96.0
1670413817.065809,84000,95.0
1670413834.038718,85500,95.0
1670413850.9664712,87000,95.0
1670413868.2481956,88500,95.0
1670413885.2925246,90000,95.0
1670413902.2615404,91500,95.0
1670413919.5751514,93000,95.0
1670413936.6801019,94500,94.0
1670413953.943646,96000,94.0
1670413970.890728,97500,94.0
1670413988.097221,99000,94.0
1670414005.2038808,100500,94.0
1670414022.5194654,102000,94.0
1670414039.8007216,103500,94.0
1670414057.0378304,105000,94.0
1670414074.134583,106500,94.0
1670414091.2170534,108000,93.0
1670414108.3885376,109500,93.0
1670414125.9045691,111000,93.0
1670414143.1066527,112500,93.0
1670414160.5469105,114000,93.0
1670414177.9464543,115500,93.0
1670414195.216578,117000,93.0
1670414212.5510592,118500,93.0
1670414229.9404364,120000,93.0
1670414247.0460815,121500,93.0
1670414264.2033226,123000,92.0
1670414281.517431,124500,92.0
1670414298.996435,126000,92.0
1670414316.2228444,127500,92.0
1670414333.5461266,129000,92.0
1670414351.0945573,130500,92.0
1670414368.2352655,132000,92.0
1670414385.4675848,133500,92.0
1670414402.9784875,135000,92.0
1670414420.1071227,136500,92.0
1670414437.2546747,138000,92.0
1670414454.5609307,139500,92.0
1670414471.9112546,141000,92.0
1670414489.2347941,142500,92.0
1670414506.517273,144000,91.0
1670414523.7879293,145500,91.0
1670414541.3422828,147000,91.0
1670414558.5528085,148500,91.0
1670414575.8898063,150000,91.0
1670414593.3359158,151500,91.0
1670414610.6599462,153000,91.0
1670414627.9326596,154500,91.0
1670414645.2903695,156000,91.0
1670414662.666532,157500,91.0
1670414680.1825218,159000,91.0
1670414697.7691731,160500,91.0
1670414715.0389316,162000,91.0
1670414732.2972612,163500,91.0
1670414749.4902046,165000,91.0
1670414766.8349922,166500,91.0
1670414784.2706923,168000,91.0
1670414801.6791744,169500,91.0
1670414818.9415035,171000,91.0
1670414836.3304048,172500,91.0
1670414853.7561498,174000,90.0
1670414871.2945352,175500,90.0
1670414888.6031609,177000,90.0
1670414905.770622,178500,90.0
1670414923.0933359,180000,90.0
1670414940.4401133,181500,90.0
1670414957.7505982,183000,90.0
1670414974.925852,184500,90.0
1670414992.3035908,186000,90.0
1670415009.4101825,187500,90.0
1670415026.9720194,189000,90.0
1670415044.3881805,190500,90.0
1670415061.5819924,192000,90.0
1670415078.857266,193500,90.0
1670415096.2131639,195000,90.0
1670415113.4426382,196500,90.0
1670415130.770328,198000,90.0
1670415147.694365,199500,90.0
1670415165.1160312,201000,90.0
1670415182.4276628,202500,90.0
1670415200.280513,204000,90.0
1670415217.7553732,205500,90.0
1670415235.4636831,207000,90.0
1670415252.826632,208500,90.0
1670415269.9606748,210000,90.0
1670415287.0456026,211500,90.0
1670415304.5015829,213000,90.0
1670415321.7652318,214500,90.0
1670415339.139293,216000,90.0
1670415356.3193076,217500,90.0
1670415373.7727568,219000,90.0
1670415390.9586055,220500,90.0
1670415408.2448475,222000,89.0
1670415425.7243495,223500,89.0
1670415443.366557,225000,89.0
1670415460.5437844,226500,89.0
1670415478.010526,228000,89.0
1670415495.3226216,229500,89.0
1670415512.5066607,231000,89.0
1670415529.9848442,232500,89.0
1670415547.441989,234000,89.0
1670415564.9235365,235500,89.0
1670415582.1345859,237000,89.0
1670415599.5920131,238500,89.0
1670415617.1201835,240000,89.0
1670415634.4119883,241500,89.0
1670415651.7073238,243000,89.0
1670415669.2840517,244500,89.0
1670415686.390819,246000,89.0
1670415703.6272945,247500,89.0
1670415721.0758922,249000,89.0
1670415738.544454,250500,89.0
1670415755.7367973,252000,89.0
1670415772.9666555,253500,89.0
1670415790.247357,255000,89.0
1670415807.651434,256500,89.0
1670415824.8361623,258000,89.0
1670415841.974769,259500,89.0
1670415859.0587916,261000,89.0
1670415876.1287303,262500,89.0
1670415893.559546,264000,89.0
1670415910.9279392,265500,89.0
1670415928.208604,267000,89.0
1670415945.3916755,268500,89.0
1670415962.672196,270000,89.0
1670415980.1047583,271500,89.0
1670415997.1694474,273000,89.0
1670416014.5293384,274500,89.0
1670416031.7740932,276000,89.0
1670416049.370194,277500,89.0
1670416066.5933564,279000,89.0
1670416084.2026448,280500,89.0
1670416101.2100139,282000,89.0
1670416118.3476508,283500,89.0
1670416135.6962383,285000,89.0
1670416153.0179121,286500,89.0
1670416170.425733,288000,89.0
1670416187.9801075,289500,89.0
1670416205.4004743,291000,89.0
1670416222.91573,292500,89.0
1670416240.1124818,294000,89.0
1670416257.2806559,295500,89.0
1670416274.6104224,297000,89.0
1670416292.1060178,298500,89.0
1670416309.2370574,300000,89.0
1670416326.472338,301500,89.0
1670416343.9490938,303000,89.0
1670416361.4617496,304500,89.0
1670416378.6456845,306000,89.0
1670416395.9041574,307500,89.0
1670416413.278868,309000,88.0
1670416430.2364798,310500,88.0
1670416444.8382704,312000,89.0
1670416459.4277582,313500,89.0
1670416473.903418,315000,89.0
1670416488.2804835,316500,89.0
1670416502.902103,318000,89.0
1670416517.2826893,319500,89.0
1670416531.6961064,321000,89.0
1670416546.2195354,322500,89.0
1670416560.7253532,324000,89.0
1670416575.078144,325500,89.0
1670416589.6017857,327000,89.0
1670416603.9880395,328500,89.0
1670416618.3535264,330000,89.0
1670416632.866264,331500,89.0
1670416648.9954517,333000,89.0
