index,normal,resnet,depthwise,DenseNet,Pyramid
0,27.32,25.9,24.39,23.01,26.73
10,52.62,49.82,53.76,49.12,47.83
20,57.58,59.72,61.32,58.72,57.96
30,63.02,70.65,64.57,64.09,64.52
40,67.83,77.6,69.04,69.9,71.19
50,71.21,82.88,71.98,71.41,78.88
60,72.93,84.51,73.79,74.57,82.84
70,76.76,85.86,75.03,78.04,84.75
80,77.85,86.47,75.46,80.28,85.92
90,78.63,87.23,77.07,84.23,87.44
99,79.08,87.98,79.93,85.45,88.86
