Wall time,Step,Value
1670410356.1164453,1500,0.11284408662468195
1670410366.1315157,3000,0.2528886318206787
1670410385.9677355,4500,0.1281162053346634
1670410405.7907681,6000,0.2689083516597748
1670410426.9742117,7500,0.20071828365325928
1670410446.2531805,9000,0.33314058855175972
1670410465.304045,10500,0.1816254198551178
1670410484.2150037,12000,-0.0015995558351278305
1670410503.4134212,13500,-0.0028134614694863558
1670410522.626643,15000,0.44385257363319397
1670410542.2679248,16500,0.3814297914505005
1670410562.3753219,18000,-0.20677199959754944
1670410582.877729,19500,0.23773890137672424
1670410602.9367282,21000,-0.00024277066404465586
1670410622.062423,22500,0.004257753025740385
1670410641.0608184,24000,-0.044421833008527756
1670410660.3174272,25500,-0.33933037519454956
1670410680.3020167,27000,0.0009314921917393804
1670410699.6287298,28500,0.0021760566160082817
1670410718.7056735,30000,-0.8858754123793915e-05
1670410737.9195013,31500,0.44499829411506653
1670410757.716196,33000,-0.13140769302845
1670410776.7597117,34500,0.0068464940413832664
1670410795.9746923,36000,-0.07821916043758392
1670410815.4070165,37500,0.11797607690095901
1670410834.820342,39000,0.1838860958814621
1670410854.125633,40500,-0.021845288574695587
1670410873.292682,42000,-0.20474237203598022
1670410892.276888,43500,-0.18257221579551697
1670410911.0599902,45000,0.13464099168777466
1670410929.9731925,46500,0.02553449384868145
1670410949.1936367,48000,-0.03621348366141319
1670410968.1890457,49500,0.11842180043458939
1670410987.2054448,51000,-0.02950412407517433
1670411006.189545,52500,-0.33239614963531494
1670411025.3283021,54000,0.17159569263458252
1670411045.5355036,55500,0.05550313740968704
1670411065.0212028,57000,0.0003181894717272371
1670411083.9322155,58500,-0.026408376172184944
1670411102.8568926,60000,-0.0469040684401989
1670411121.9321952,61500,0.3961816132068634
1670411141.1938727,63000,0.21523715555667877
1670411160.311795,64500,0.05387941002845764
1670411179.3820183,66000,-0.03445916250348091
1670411198.4773812,67500,-0.2608179748058319
1670411217.4085546,69000,-0.060432348400354385
1670411236.5964556,70500,0.09438669681549072
1670411255.663143,72000,-0.3458835780620575
1670411274.5808437,73500,-0.037823934108018875
1670411293.6420968,75000,-0.14515699446201324
1670411312.6156042,76500,0.09647798538208008
1670411332.829595,78000,-0.2209010273218155
1670411353.0649,79500,0.023141298443078995
1670411373.7012935,81000,-0.21701844036579132
1670411393.1054735,82500,-0.0005030329339206219
1670411413.0083435,84000,0.0203982163220644
1670411432.8480802,85500,0.01629454828798771
1670411453.8189993,87000,0.002616381738334894
1670411473.578436,88500,-0.18852119147777557
1670411493.2653863,90000,-0.050041768699884415
1670411705.8719573,106500,0.08857777714729309
1670411724.8405452,108000,-0.023532630875706673
1670411744.0102878,109500,-0.9214290380477905
1670411763.1365597,111000,-0.06925497204065323
1670411782.6478028,112500,-0.02288644015789032
1670411801.5097444,114000,-0.04392348229885101
1670411820.5342689,115500,-0.17231090366840363
1670411839.6971834,117000,-0.0009625755483284593
1670411858.838516,118500,-0.16752934455871582
1670411878.0363483,120000,-0.012270241044461727
1670411897.1488543,121500,-0.17562396824359894
1670411916.2857275,123000,-0.020907137542963028
1670411935.6222525,124500,-0.6636665463447571
1670411954.701393,126000,-0.001216598437167704
1670411973.9275672,127500,-0.07616983354091644
1670411993.096608,129000,-0.00946147833019495
1670412012.574385,130500,-0.029248114675283432
1670412031.9083147,132000,-0.03961393982172012
1670412050.8836727,133500,-0.058083269745111465
1670412069.9875624,135000,-0.0945345088839531
1670412089.0640926,136500,-0.8035975694656372
1670412108.2897556,138000,-0.04658878967165947
1670412127.3644323,139500,-0.0960981622338295
1670412146.4669847,141000,0.0002841076930053532
1670412165.6172962,142500,-0.06422814726829529
1670412184.572529,144000,-0.09537354111671448
1670412204.282649,145500,-0.005585064645856619
