Wall time,Step,Value
1670410356.116277,1500,336.0
1670410366.1313272,3000,352.1538391113281
1670410385.9675913,4500,359.0
1670410405.7906146,6000,370.78125
1670410426.9740741,7500,368.0
1670410446.253036,9000,368.27777099609375
1670410465.3039052,10500,362.4923095703125
1670410484.2148597,12000,360.3157958984375
1670410503.4132698,13500,362.7272644042969
1670410522.6265054,15000,364.9800109863281
1670410542.2677724,16500,365.19000244140625
1670410562.3751786,18000,354.2699890136719
1670410582.8775842,19500,351.5400085449219
1670410602.9365845,21000,345.6600036621094
1670410622.0622656,22500,346.9200134277344
1670410641.060661,24000,351.9599914550781
1670410660.3172855,25500,344.3999938964844
1670410680.301881,27000,347.54998779296875
1670410699.6285915,28500,345.45001220703125
1670410718.7055204,30000,349.8599853515625
1670410737.9193587,31500,367.0799865722656
1670410757.7160563,33000,358.260009765625
1670410776.7595663,34500,363.29998779296875
1670410795.9745562,36000,360.989990234375
1670410815.4068778,37500,362.0400085449219
1670410834.8201969,39000,362.25
1670410854.1254961,40500,358.67999267578125
1670410873.2925296,42000,364.55999755859375
1670410892.2767458,43500,367.9200134277344
1670410911.0598438,45000,372.75
1670410929.973054,46500,378.4200134277344
1670410949.1934986,48000,378.8399963378906
1670410968.1889017,49500,394.5899963378906
1670410987.2053025,51000,404.4599914550781
1670411006.189392,52500,423.1499938964844
1670411025.3281648,54000,436.79998779296875
1670411045.5353541,55500,443.5199890136719
1670411065.0210655,57000,461.3699951171875
1670411083.9320772,58500,466.20001220703125
1670411102.8567402,60000,481.95001220703125
1670411121.9320588,61500,492.8699951171875
1670411141.1937187,63000,500.8500061035156
1670411160.311659,64500,515.1300048828125
1670411179.381866,66000,530.4600219726562
1670411198.4772446,67500,540.1199951171875
1670411217.408414,69000,549.989990234375
1670411236.5963109,70500,564.27001953125
1670411255.663,72000,579.8099975585938
1670411274.5807064,73500,593.0399780273438
1670411293.641959,75000,603.5399780273438
1670411312.6154644,76500,607.1099853515625
1670411332.8294451,78000,625.7999877929688
1670411353.0647576,79500,624.5399780273438
1670411373.7011416,81000,626.219970703125
1670411393.1053329,82500,623.280029296875
1670411413.0082068,84000,631.6799926757812
1670411432.8479407,85500,636.719970703125
1670411453.818859,87000,645.9600219726562
1670411473.5782957,88500,651.0
1670411493.2652462,90000,654.780029296875
1670411512.2954202,91500,658.5599975585938
1670411531.4367523,93000,656.25
1670411551.3674772,94500,659.4000244140625
1670411570.5408287,96000,656.8800048828125
1670411589.5774927,97500,659.1900024414062
1670411608.7130613,99000,659.4000244140625
1670411627.6413667,100500,658.5599975585938
1670411646.564025,102000,662.3400268554688
1670411666.4866316,103500,649.1099853515625
1670411686.596415,105000,632.52001953125
1670411705.8717535,106500,623.0700073242188
1670411724.8404057,108000,623.9099731445312
1670411744.0101438,109500,624.75
1670411763.136425,111000,608.7899780273438
1670411782.647663,112500,609.8400268554688
1670411801.5096035,114000,626.8499755859375
1670411820.5341353,115500,625.7999877929688
1670411839.6970496,117000,623.489990234375
1670411858.8383806,118500,627.1599731445312
1670411878.0362115,120000,630.0999755859375
1670411897.1487188,121500,631.5700073242188
1670411916.2855866,123000,631.780029296875
1670411935.6221128,124500,608.469970703125
1670411954.7012568,126000,622.75
1670411973.9274366,127500,632.8300170898438
1670411993.0964694,129000,634.719970703125
1670412012.57424,130500,647.739990234375
1670412031.9081779,132000,634.510009765625
1670412050.8835127,133500,633.6699829101562
1670412069.9874284,135000,628.8400268554688
1670412089.0639389,136500,623.3800048828125
1670412108.2896092,138000,630.9400024414062
1670412127.364296,139500,636.6099853515625
1670412146.4668508,141000,628.530029296875
1670412165.6171591,142500,627.6900024414062
1670412184.5723953,144000,621.3900146484375
1670412204.2825096,145500,626.4299926757812
1670412223.4340782,147000,643.8599853515625
1670412242.4948764,148500,655.8300170898438
1670412261.633874,150000,657.0900268554688
1670412280.700415,151500,660.030029296875
1670412299.6452017,153000,650.1599731445312
1670412319.2512667,154500,656.25
